Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Parqueaderos,Valor administración
5,5,4,400,393-M4799667,Tunja,$470.000.000,Entre 10 y 20 años,400 m²,400 m²,2,
5,5,3,280,11295-M3572887,PUENTE HAMACA,$850.000.000,Entre 5 y 10 años,280 m²,5380 m²,4,
3,2,4,79,11295-M4204206,MALDONADO TUNJA,$240.000.000,Entre 5 y 10 años,79 m²,79 m²,1,$220.000
3,2,4,122,11295-M4019770,CENTRO,$300.000.000,Entre 5 y 10 años,122 m²,122 m²,1,$250.000
4,3,3,250,3312-M4645187,URBANIZACION EL BOSQUE,$420.000.000,Entre 5 y 10 años,250 m²,286 m²,2,$420.000.000
3,2,3,150,11295-M4299919,CENTRO DE TUNJA,$320.000.000,Entre 10 y 20 años,150 m²,150 m²,1,
1,1,5,40,13678-M4767093,SANTA INES,$195.000.000,Entre 5 y 10 años,40 m²,37 m²,1,$150.000
5,5,5,543,847-M4686008,Santa Helena,$1.900.000.000,Entre 10 y 20 años,543 m²,543 m²,4,$500.000
4,3,4,168,11295-M3827533,Unicentro,$480.000.000,Entre 10 y 20 años,168.3 m²,168.3 m²,1,
3,1,3,62,10159-M4957842,La Florida,$130.000.000,Más de 20 años,62 m²,60 m²,,
5,3,5,101,11295-M3357205,,$600.000.000,Remodelado,101 m²,101 m²,,
5,4,5,187,MC4698620,Unicentro Tunja,$495.000.000,Entre 10 y 20 años,187 m²,187 m²,1,
3,2,3,102,11295-M4545278,JUAN CASTELLANOS TUNJA,$320.000.000,Entre 10 y 20 años,102 m²,102 m²,1,
5,3,5,101,11295-M3562129,Las Quintas,$600.000.000,Entre 5 y 10 años,101 m²,101 m²,,
3,2,4,65,10159-M4261882,Tunja,$240.000.000,Entre 5 y 10 años,65.75 m²,61.1 m²,1,$236.000
3,3,4,60,10159-M4430069,Balcones De Don Espiritu,$300.000.000,Entre 0 y 5 años,60.93 m²,60.93 m²,1,
3,2,3,82,11295-M4770235,MALDONADO TUNJA,$220.000.000,Entre 10 y 20 años,82 m²,82 m²,1,$220.000.000
3,2,5,76,12373-M4870999,Innalteza,$215.000.000,Entre 5 y 10 años,76.36 m²,76.36 m²,1,
2,2,3,49,10159-M4958724,El Libertador,$160.000.000,Más de 20 años,49 m²,48 m²,,
2,2,3,354,11295-M3297796,SAN FRANCISCO,$530.427.129,Entre 10 y 20 años,354 m²,354 m²,,
3,2,1,52,16742-M4884787,OIKOS MONTEVERDE,$220.000.000,Entre 5 y 10 años,52 m²,52 m²,1,$146.000
5,3,3,147,10159-M4057352,Gaitan,$330.000.000,Más de 20 años,147 m²,143 m²,,
4,4,3,466,3072-M3395906,centro historico,$1.200.000.000,Más de 20 años,466 m²,466 m²,3,
3,3,4,240,3072-M4697534,Lombardia,$750.000.000,Entre 0 y 5 años,240 m²,240 m²,2,$230.000
3,2,4,101,MC4869792,SECTOR MALDONADO   GLORIETA NORTE,$320.000.000,Entre 5 y 10 años,101 m²,101 m²,1,$268.000
5,5,3,720,11295-M3608718,Mirador del Lago,$750.000.000,Entre 5 y 10 años,720 m²,720 m²,1,$220.000
1,1,3,27,11295-M4770230,PARQUE PINZON TUNJA,$120.000.000,Entre 5 y 10 años,27 m²,27 m²,,$120.000.000
5,5,3,720,11295-M3608718,Mirador del Lago,$750.000.000,Entre 5 y 10 años,720 m²,720 m²,1,$220.000
1,1,3,27,11295-M4770230,PARQUE PINZON TUNJA,$120.000.000,Entre 5 y 10 años,27 m²,27 m²,,$120.000.000
2,3,4,75,16742-M4946289,Vivente,$320.000.000,Entre 5 y 10 años,75.26 m²,75.26 m²,1,$287.000
2,1,3,50,MC4806263,Jorge Eliecer Gaitan,$185.000.000,Entre 0 y 5 años,50 m²,50 m²,1,
3,2,3,62,10278-M4693487,La Florida,$202.900.000,Entre 0 y 5 años,62.32 m²,55.56 m²,1,
5,4,3,220,10159-M4693097,La Florida,$315.000.000,Entre 5 y 10 años,220 m²,210 m²,,
4,3,4,202,11295-M4264695,CC BULEVAR TUNJA,$475.000.000,Entre 10 y 20 años,202 m²,202 m²,2,
3,2,3,65,MC2456423,San Laureano,$172.000.000,Entre 0 y 5 años,65 m²,60.61 m²,,$49.000
4,3,3,120,11295-M4137361,LOS HONGOS,$200.000.000,Entre 10 y 20 años,120 m²,120 m²,1,
3,3,5,80,16742-M4806536,Edificio quinta santana,$320.000.000,Entre 10 y 20 años,80 m²,80 m²,1,
3,3,3,125,MC4513166,Santa Ana,$449.000.000,Entre 0 y 5 años,125 m²,120 m²,1,
3,2,3,74,10159-M4261924,Tunja,$180.000.000,Entre 5 y 10 años,74.03 m²,74.03 m²,1,$98.000
3,2,4,68,10159-M3894838,Las Nieves,$255.000.000,Entre 5 y 10 años,68 m²,65 m²,1,$53.000
4,4,5,240,3072-M4754791,LOMBARDIA,$800.000.000,Entre 0 y 5 años,240 m²,240 m²,1,$200.000
2,2,3,354,11295-M3608990,San Francisco,$530.427.129,Entre 5 y 10 años,354.07 m²,357.07 m²,,
