Habitaciones,Baños,Estrato,Área_construida,Código inmueble,Barrio común,Precio,Antigüedad,Área construida,Área privada,Valor administración,Parqueaderos
4,3,4,176,12373-M4870998,Conjunto Residencial Alameda,$460.000.000,Entre 5 y 10 años,176 m²,176 m²,$270.000,2
2,2,2,90,12373-M4871006,Villa Ruby,$260.000.000,Entre 0 y 5 años,90 m²,90 m²,$80.000,1
2,3,3,80,11295-M4006618,Los Muiskas,$250.000.000,Entre 5 y 10 años,80 m²,80 m²,,1
3,2,4,80,3072-M2731740,inaltteza,$230.000.000,Entre 0 y 5 años,80 m²,80 m²,$130.000,1
5,5,3,270,10159-M4892590,Trigales,$420.000.000,Entre 10 y 20 años,270 m²,270 m²,,2
2,2,4,69,10278-M4923700,Reina Sofia,$380.000.000,Entre 0 y 5 años,69 m²,69 m²,$250.000,2
3,2,5,88,12373-M4868721,Vivente,$325.000.000,Entre 0 y 5 años,88 m²,88 m²,$275.000,1
4,4,5,368,12373-M4868737,Norte,$1.500.000.000,Más de 20 años,368 m²,368 m²,,4
3,4,5,200,16742-M4796276,ENTRE PARQUES,$870.000.000,Entre 5 y 10 años,200.67 m²,200 m²,,2
3,3,5,87,12937-M4816083,tunja,$450.000.000,Entre 0 y 5 años,87 m²,85 m²,$350.000,1
3,2,4,118,10159-M4869739,La Maria,$360.000.000,Más de 20 años,118 m²,114 m²,$258.000,1
4,3,3,118,14014-M4861882,Colinas del norte,$320.000.000,Entre 10 y 20 años,118.84 m²,115 m²,,1
5,2,3,150,10159-M3807727,Las Nieves,$270.000.000,Más de 20 años,150 m²,145 m²,,
5,4,5,390,10159-M4959959,Tunja,$1.200.000.000,Entre 5 y 10 años,390 m²,390 m²,,2
3,2,5,120,16742-M4912725,LUZ ALEJANDRA,$450.000.000,Entre 10 y 20 años,120 m²,120 m²,$900.000,2
3,4,5,190,10159-M4958556,Santa Helena,$699.000.000,Más de 20 años,190 m²,190 m²,$350.000,2
4,3,5,87,12373-M4871008,Argami,$295.000.000,Entre 0 y 5 años,87 m²,87 m²,$294.000,1
3,2,4,76,10159-M4958700,Tunja,$275.000.000,Entre 0 y 5 años,76 m²,70 m²,$204.500,2
3,2,4,78,10159-M4908056,Maldonado,$260.000.000,Entre 10 y 20 años,78.5 m²,78.5 m²,$235.000,1
3,4,5,180,10159-M4958307,Unicentro,$740.000.000,Entre 10 y 20 años,180 m²,170 m²,$400.000,2
3,3,5,80,10159-M4958758,Mesopotamia,$320.000.000,Entre 10 y 20 años,80 m²,73 m²,$200.000,1
4,3,4,118,10159-M4907857,Colinas Del Norte,$330.000.000,Entre 5 y 10 años,118.84 m²,115 m²,,1
5,3,3,270,10159-M4957928,San Laureano,$500.000.000,Más de 20 años,270 m²,268 m²,,1
5,5,4,225,10159-M4958104,Colinas Del Norte,$360.000.000,Entre 10 y 20 años,225 m²,220 m²,,1
3,1,3,52,10159-M4907882,Tunja,$130.000.000,Entre 0 y 5 años,52.65 m²,50 m²,$100.000,
5,4,5,180,10159-M4958249,Unicentro,$430.000.000,Entre 5 y 10 años,180 m²,180 m²,,
3,1,3,62,10159-M4957914,Tunja,$170.000.000,Más de 20 años,62 m²,63 m²,$94.000,2
3,1,3,48,10159-M4958749,Tunja,$140.000.000,Entre 5 y 10 años,48.38 m²,48.38 m²,$20.000,
3,3,4,84,10159-M4958113,Tunja,$325.000.000,Entre 10 y 20 años,84 m²,83 m²,$150.000,1
4,4,4,222,10159-M4958237,Zona Centro,$360.000.000,Más de 20 años,222 m²,220 m²,,1
5,3,3,180,10159-M4958750,Los Muiscas,$355.000.000,Más de 20 años,180 m²,180 m²,,1
3,3,3,164,10159-M4957953,Barrio Suarez,$310.000.000,Entre 10 y 20 años,164 m²,160 m²,,1
4,5,6,440,10159-M4957967,Tunja,$1.100.000.000,Entre 0 y 5 años,440 m²,420 m²,$50.000,2
2,2,5,52,10159-M4378327,Unicentro,$290.000.000,Entre 0 y 5 años,52 m²,50 m²,$182.500,1
3,2,5,93,10159-M4538291,Unicentro,$410.000.000,Entre 5 y 10 años,93.38 m²,90 m²,$250.000,1
2,2,5,75,10159-M4340709,Mesopotamia,$270.000.000,Entre 10 y 20 años,75 m²,72 m²,$206.000,1
3,3,6,384,603-M4418400,Tunja,$750.000.000,Más de 20 años,384 m²,384 m²,,2
5,5,3,550,10159-M4106793,San Laureano,$1.249.000.000,Más de 20 años,550 m²,540 m²,,3
2,2,5,64,10159-M4039417,Tunja,$270.000.000,Entre 10 y 20 años,64 m²,61 m²,$200.000,
3,2,3,54,10159-M3985011,Trigales,$250.000.000,Entre 0 y 5 años,54 m²,51 m²,$103.000,1
5,4,4,340,10159-M4500979,Tunja,$850.000.000,Entre 10 y 20 años,340 m²,320 m²,,1
5,5,5,650,10159-M4021072,Tunja,$2.999.000.000,Más de 20 años,650 m²,2980 m²,,4
3,3,2,384,10159-M4412961,Tunja,$750.000.000,Entre 5 y 10 años,384 m²,1240 m²,,2
2,1,4,30,10159-M4503712,Tunja,$215.000.000,Entre 5 y 10 años,30.73 m²,46.95 m²,$120.000,1
3,3,3,140,10159-M4500954,Tunja,$300.000.000,Más de 20 años,140 m²,135 m²,,1
2,2,4,52,10159-M3902572,Tunja,$250.000.000,Entre 0 y 5 años,52 m²,68 m²,,
5,4,4,263,10159-M3883697,Tunja,$579.000.000,Entre 10 y 20 años,263 m²,258 m²,,2
5,5,3,324,10159-M3971993,Las Nieves,$694.000.000,Más de 20 años,324 m²,310 m²,,1
5,3,3,192,10159-M4892549,El Libertador,$220.000.000,Más de 20 años,192.5 m²,192.5 m²,,2
3,3,3,126,10159-M4537886,Tunja,$200.000.000,Entre 0 y 5 años,126 m²,126 m²,,2
